Timestamp,Value
1872,82.2
1873,122.49
1874,110.4
1875,116.04
1876,111.21
1877,104.76
1878,83.0
1879,104.76
1880,111.21
1881,107.99
1882,113.63
1883,101.54
1884,75.75
1885,109.6
1886,87.03
1887,109.6
1888,87.84
1889,115.24
1890,88.64
1891,89.45
1892,95.9
1893,91.06
1894,123.3
1895,98.32
1896,80.59
1897,92.67
1898,110.4
1899,88.64
1900,94.29
1901,74.95
1902,117.66
1903,117.66
1904,114.43
1905,85.42
1906,102.34
1907,102.34
1908,83.0
1909,85.42
1910,87.84
1911,112.82
1912,114.43
1913,83.0
1914,79.78
1915,97.51
1916,78.17
1917,78.97
1918,101.54
1919,86.23
1920,87.03
1921,105.57
1922,101.54
1923,98.32
1924,75.75
1925,87.84
1926,116.85
1927,83.0
1928,80.59
1929,85.42
1930,105.57
1931,87.03
1932,95.09
1933,111.21
1934,101.54
1935,103.96
1936,114.43
1937,78.17
1938,97.51
1939,82.2
1940,81.39
1941,78.17
1942,83.0
1943,87.03
1944,113.63
1945,111.21
1946,115.24
1947,116.04
1948,82.2
1949,82.2
1950,109.6
1951,76.56
1952,83.81
1953,113.63
1954,90.26
1955,95.9
1956,113.63
1957,111.21
1958,95.9
1959,91.06
1960,110.4
1961,76.56
1962,94.29
1963,100.73
1964,80.59
1965,76.56
1966,114.43
1967,99.93
1968,103.96
1969,81.39
1970,99.12
1971,110.4
1972,117.66
1973,79.78
1974,98.32
1975,78.97
1976,103.15
1977,106.37
1978,102.34
1979,113.63
1980,104.76
1981,92.67
1982,88.64
1983,107.18
1984,93.48
1985,80.59
1986,77.36
1987,94.29
1988,89.45
1989,79.78
1990,91.87
1991,102.34
1992,116.04
1993,107.99
1994,83.81
1995,104.76
1996,104.76
1997,117.66
1998,78.17
1999,104.76
